asset,owner
2G9eJwFxu2T2RCDfpgVLFartDtfF3T7GTCwng7Q8zc5z,BgiW7eRBHefQenMDtDHYvZinBwzy5eukwx44aCJEDZxc
2GFwPCbx92KbMufPoTukCL9Y7pqqKU1rc9pUYNwCEEBn,AzX8AtNVzxwjU2z9V5ZimQnQaDnmphnEiejKJRJ9TAWm
2GNV1JrhduQSRo5b7NyiAcdSS7A4ybcYco2hUc5faU6L,HTX9BkwYdwmH3xPVAyaiVC8pVusCp4gDWTqwLwzCM1bx
2Gbx9WyqgLdJT2BNBy85YAKxYB1uLRvX1nZ8ZNt6o7AS,6mDCFcKBrDudj4SmF9uTrjgp5BtBa86uvjXVbLua8VLR
2GdrREXzUjNSkCHwppdT8ncw45a9cB8T4UBvjA7iC93U,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8
2GfRAovy7Mqq1RbrsigvMLmhpCt4cBUo9nJR1ECaFeEZ,2XCjDmR1Cz7JdHNzVqvjC8toKzv6j7M5GNU3nQKBqssn
2GiZjECEjj8BBni6tEQBJq3WJj2ERSAhSoX7A5MvJw1z,5wceam6f3i2PNykKQkomeord2dhxsmyTEaEFxVLVaegM
2GsGG73XYzjcY2pwFcSdCa8BWSyEkttigBqk8EMVqdAk,CkDVZfCjUBYHxARSYBDmqBUWN4aipz7YL6uUmKScbvNT
2H4xAsEQrHgK1GxusfEjfXP8kq3ZoNLp5kHegpVuA4QP,Hq23RE564UaA9WNxMmT9Rtpr8RFUwaYoh6XrGnkMoUAc
2H7VzaYgC9W2mA8u1VJXHx8SJmdHn2j5twYwLMm4BHCq,FRnFVoakjCChVX5DSSfoyKtTqod36uQyB7deXqNB7XYG
2H7tpW5MpSYnwypr7HzLFn8PWrLNounvPko5Qvw8ww7B,3vtjZv2v1eRj5aYZ5vEoM8GdPiFgFmPVkABNZHx36CjJ
2HLSKAK2CKQZbssitHaXfH5UQmT4YtGobVEeE3tCp9Uj,J8YQxq8qCm438yRjmLPFkUinztxLPEWJeJSxxL9GhxYY
2HMmAJv9fxNsULni9vVfYkFFQ37YgU91gRrD8HQEfG9F,6ZV8Z9J4LC6uU4K6RqSBij9uF35vfdWwzJoH8AdDQX2J
2HPhSKKsC1qehXuZZBH5eydVRQnHY8YCYwAERMGAkoLV,Hq23RE564UaA9WNxMmT9Rtpr8RFUwaYoh6XrGnkMoUAc
2HWyjLWQN5eBZZ4ptTUUovHmUfbT7dnFjftESvN3K7Rw,H1HTT8KeAWyCdX6pBvcbTuWhAXSqxfjHhTCdhWBL5qEo
2HXQ3AhcdjiDLNXrSa5Pnnaqgq31v7eb7g3kFYAt6nEB,H2CAfKakYfFuT5oEZJwtAmgy8ihPncv62iMYmQXFG3Y2
2HZmZuudsr9bP9j8FgGGfwkN6muHTciR3bYEER28VKod,5AysHo5vYHYcqNaJ4zrKKf7aRFfWXCCtQ9gdPLfpudfA
2HbTck5N5iKDxFGbX1vXoHX95sodSKribAna6kYsDaD5,88gNHWScPbq75QunYtRi84YqvKwJZ1cjmqrF7chp8VXo
2HzHHKjmHzx9r8qxUz1RFK6Kr4TdHAbbm24QUvFrTdDB,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8
